SAMPLE POINT;DATE;Rain (mm)
MMS01;19/5/2010;0
MMS01;20/5/2010;0
MMS01;21/5/2010;19,8
MMS01;22/5/2010;0
MMS01;23/5/2010;0
MMS01;24/5/2010;1
MMS01;25/5/2010;0
MMS01;26/5/2010;0
MMS01;27/5/2010;0
MMS01;28/5/2010;0
MMS01;29/5/2010;0
MMS01;30/5/2010;0
MMS01;31/5/2010;0
MMS01;1/6/2010;2,6
MMS01;2/6/2010;0
MMS01;3/6/2010;4,2
MMS01;4/6/2010;0
MMS01;5/6/2010;0
MMS01;6/6/2010;2
MMS01;7/6/2010;0
MMS01;8/6/2010;0,2
MMS01;9/6/2010;0,2
MMS01;10/6/2010;0
MMS01;11/6/2010;0
MMS01;12/6/2010;0
MMS01;13/6/2010;0
MMS01;14/6/2010;0
MMS01;15/6/2010;0
MMS01;16/6/2010;0
MMS01;17/6/2010;0
MMS01;18/6/2010;6
MMS01;19/6/2010;0,6
MMS01;20/6/2010;2,2
MMS01;21/6/2010;0
MMS01;22/6/2010;1,8
MMS01;23/6/2010;0
MMS01;24/6/2010;6,8
MMS01;25/6/2010;0,2
MMS01;26/6/2010;0
MMS01;27/6/2010;0
MMS01;28/6/2010;0,2
MMS01;29/6/2010;0
MMS01;30/6/2010;0
MMS01;1/7/2010;0
MMS01;2/7/2010;0
MMS01;3/7/2010;0
MMS01;22/7/2010;0
MMS01;23/7/2010;0
MMS01;24/7/2010;0
MMS01;25/7/2010;0,2
MMS01;26/7/2010;24,8
MMS01;27/7/2010;50,2
MMS01;28/7/2010;0
MMS01;29/7/2010;0
MMS01;30/7/2010;0
MMS01;31/7/2010;0
MMS01;1/8/2010;0
MMS01;2/8/2010;0
MMS01;3/8/2010;0
MMS01;4/8/2010;0
MMS01;5/8/2010;0
MMS01;6/8/2010;0
MMS01;7/8/2010;0
MMS01;8/8/2010;0
MMS01;9/8/2010;0
MMS01;10/8/2010;0
MMS01;11/8/2010;0
MMS01;12/8/2010;0
MMS01;13/8/2010;0
