SAMPLE POINT;DATE;Rain (mm)
MMS31;1/10/2006;0
MMS31;2/10/2006;0
MMS31;3/10/2006;0
MMS31;4/10/2006;0,1
MMS31;5/10/2006;0,1
MMS31;6/10/2006;0
MMS31;7/10/2006;14,7
MMS31;8/10/2006;190,8
MMS31;9/10/2006;1,5
MMS31;10/10/2006;1,1
MMS31;11/10/2006;0
MMS31;12/10/2006;0
MMS31;13/10/2006;0
MMS31;14/10/2006;0
MMS31;15/10/2006;0
MMS31;16/10/2006;6,9
MMS31;17/10/2006;0,3
MMS31;18/10/2006;0
MMS31;19/10/2006;0
MMS31;20/10/2006;0
MMS31;21/10/2006;13,1
MMS31;22/10/2006;0,5
MMS31;23/10/2006;0,1
MMS31;24/10/2006;0
MMS31;25/10/2006;0
MMS31;26/10/2006;0
MMS31;27/10/2006;0
MMS31;28/10/2006;0
MMS31;29/10/2006;0
MMS31;30/10/2006;13,9
MMS31;31/10/2006;0
MMS31;1/11/2006;0
MMS31;2/11/2006;2,7
MMS31;3/11/2006;1,6
MMS31;4/11/2006;0
MMS31;5/11/2006;0
MMS31;6/11/2006;0
MMS31;7/11/2006;0
MMS31;8/11/2006;0
MMS31;9/11/2006;0
MMS31;10/11/2006;1,9
MMS31;11/11/2006;8,8
MMS31;12/11/2006;0
MMS31;13/11/2006;0,6
MMS31;14/11/2006;0
MMS31;15/11/2006;0
MMS31;16/11/2006;0
MMS31;17/11/2006;0
MMS31;18/11/2006;0
MMS31;19/11/2006;0
MMS31;20/11/2006;0
MMS31;21/11/2006;0
MMS31;22/11/2006;0,1
MMS31;23/11/2006;11,8
MMS31;24/11/2006;1,8
MMS31;25/11/2006;0
MMS31;26/11/2006;0
MMS31;27/11/2006;0
MMS31;28/11/2006;0
MMS31;29/11/2006;0
MMS31;30/11/2006;0
MMS31;1/12/2006;0
MMS31;2/12/2006;0
MMS31;3/12/2006;0
MMS31;4/12/2006;0
MMS31;5/12/2006;0,1
MMS31;6/12/2006;0,1
MMS31;7/12/2006;0,2
MMS31;8/12/2006;0
MMS31;9/12/2006;0
MMS31;10/12/2006;0
MMS31;11/12/2006;3,2
MMS31;12/12/2006;21,7
MMS31;13/12/2006;0
MMS31;14/12/2006;0
MMS31;15/12/2006;0,1
MMS31;16/12/2006;0
MMS31;17/12/2006;0,1
MMS31;18/12/2006;0
MMS31;19/12/2006;1,7
MMS31;20/12/2006;20,1
MMS31;21/12/2006;7,9
MMS31;22/12/2006;0
MMS31;23/12/2006;0
MMS31;24/12/2006;0
MMS31;25/12/2006;0
MMS31;26/12/2006;0
MMS31;27/12/2006;0
